"Actual","Predicted","nPredictions"
"angry","angry","45"
"angry","happy","2"
"angry","sad","0"
"happy","angry","0"
"happy","happy","54"
"happy","sad","0"
"sad","angry","0"
"sad","happy","0"
"sad","sad","34"
