"Actual","Predicted","nPredictions"
"angry","angry","31"
"angry","happy","7"
"angry","sad","9"
"happy","angry","9"
"happy","happy","35"
"happy","sad","10"
"sad","angry","8"
"sad","happy","6"
"sad","sad","20"
